what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293276371894
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1293276371894
java.specification.name,sysinfo,,,"Java Platform API Specification",1293276371894
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276371894
java.specification.version,sysinfo,,,"1.6",1293276371894
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276371894
java.version,sysinfo,,,"1.6.0_22",1293276371894
java.vm.info,sysinfo,,,"mixed mode",1293276371894
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1293276371894
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293276371894
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276371894
java.vm.specification.version,sysinfo,,,"1.0",1293276371894
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276371894
java.vm.version,sysinfo,,,"17.1-b03",1293276371894
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1293276373012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276373386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276380429
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1293276396803
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1293276396819
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293276398101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1293276401127
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276408563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276424888
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276424991
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1293276425274
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1293276425561
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1293276435365
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1293276435367
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1293276435368
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1293276435369
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1293276435370
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1293276435371
